Province,District,Candidate no.,Party,Votes
Bangkok Metropolis,5,19,Thai People Power Party,14
Bangkok Metropolis,5,27,People Vote Party,9
Bangkok Metropolis,5,5,People's Reform,0
Bangkok Metropolis,5,31,Palang Thai Sang Chart,0
Bangkok Metropolis,6,11,Palang Pracharath Party,28690
Bangkok Metropolis,6,8,Future Forward Party,23980
Bangkok Metropolis,6,3,Pheu Thai,22275
Bangkok Metropolis,6,10,Democrat Party,16525
Bangkok Metropolis,6,20,New Economics Party,5416
Bangkok Metropolis,6,2,Thai Liberal Party,2471
Bangkok Metropolis,6,1,Bhumjaithai Party,1101
Bangkok Metropolis,6,7,Action Coalition for Thailand,811
Bangkok Metropolis,6,18,Thai Forest Conservation Party,429
Bangkok Metropolis,6,15,Thai Local Power Party,384
Bangkok Metropolis,6,9,Chart Thai Pattana,276
Bangkok Metropolis,6,4,People's Reform,263
Bangkok Metropolis,6,6,Chart Pattana,224
Bangkok Metropolis,6,16,Thai Civilised,164
Bangkok Metropolis,6,17,Paradonraphab Party,117
Bangkok Metropolis,6,13,Prachachat Party,115
Bangkok Metropolis,6,12,Puea Chat party,102
Bangkok Metropolis,6,21,Palang Chart Thai,75
Bangkok Metropolis,6,5,Prashaniyom,66
Bangkok Metropolis,6,27,Polamuang Thai,63
Bangkok Metropolis,6,23,Powerful Love Party,59
Bangkok Metropolis,6,25,Mahachon Party,49
Bangkok Metropolis,6,30,New Democracy Party,44
Bangkok Metropolis,6,19,Puea Pandin Party,39
Bangkok Metropolis,6,22,Kru Thai,38
Bangkok Metropolis,6,14,People Progressive party,36
Bangkok Metropolis,6,24,Thai People Power Party,33
Bangkok Metropolis,6,26,Palang Thai Sang Chart,16
Bangkok Metropolis,6,28,People Vote Party,15
Bangkok Metropolis,6,29,Thai Network Party,3
Bangkok Metropolis,7,4,Palang Pracharath Party,25180
Bangkok Metropolis,7,17,Pheu Thai,23998
Bangkok Metropolis,7,3,Future Forward Party,21339
Bangkok Metropolis,7,15,Democrat Party,12896
Bangkok Metropolis,7,12,Thai Local Power Party,5160
Bangkok Metropolis,7,22,New Economics Party,3848
Bangkok Metropolis,7,7,Thai Liberal Party,2006
Bangkok Metropolis,7,14,Bhumjaithai Party,1003
Bangkok Metropolis,7,11,Action Coalition for Thailand,658
Bangkok Metropolis,7,16,Thai Forest Conservation Party,476
Bangkok Metropolis,7,13,Puea Chat party,426
Bangkok Metropolis,7,1,Prachachat Party,259
Bangkok Metropolis,7,8,Chart Thai Pattana,242
Bangkok Metropolis,7,9,Thai Civilised,238
Bangkok Metropolis,7,6,Chart Pattana,224
Bangkok Metropolis,7,2,People's Reform,164
Bangkok Metropolis,7,5,People Progressive party,123
Bangkok Metropolis,7,18,Prashaniyom,97
Bangkok Metropolis,7,21,Paradonraphab Party,92
Bangkok Metropolis,7,24,Palang Chart Thai,89
Bangkok Metropolis,7,10,Puea Pandin Party,81
Bangkok Metropolis,7,27,Glang,59
Bangkok Metropolis,7,29,Thai Citizen,58
Bangkok Metropolis,7,23,Kru Thai,39
Bangkok Metropolis,7,31,Thai Rak Tham,32
Bangkok Metropolis,7,19,Power of Faith party,30
Bangkok Metropolis,7,26,Pandintham,30
Bangkok Metropolis,7,30,Mahachon Party,26
Bangkok Metropolis,7,20,Thai People Power Party,20
Bangkok Metropolis,7,28,Prachatham Thai,20
Bangkok Metropolis,7,25,People Vote Party,13
Bangkok Metropolis,8,2,Palang Pracharath Party,29090
Bangkok Metropolis,8,6,Pheu Thai,26122
Bangkok Metropolis,8,12,Future Forward Party,25656
Bangkok Metropolis,8,16,Democrat Party,15384
Bangkok Metropolis,8,22,New Economics Party,5661
Bangkok Metropolis,8,7,Thai Liberal Party,2338
Bangkok Metropolis,8,3,Bhumjaithai Party,764
Bangkok Metropolis,8,11,Action Coalition for Thailand,690
Bangkok Metropolis,8,10,Chart Thai Pattana,597
Bangkok Metropolis,8,19,Thai Forest Conservation Party,450
Bangkok Metropolis,8,1,Puea Chat party,293
Bangkok Metropolis,8,8,Chart Pattana,205
Bangkok Metropolis,8,13,People's Reform,195
Bangkok Metropolis,8,14,Thai Civilised,171
Bangkok Metropolis,8,21,New Democracy Party,151
Bangkok Metropolis,8,15,Thai Local Power Party,129
Bangkok Metropolis,8,5,People Progressive party,105
Bangkok Metropolis,8,4,Prachachat Party,89
Bangkok Metropolis,8,9,New Palangdharma Party,75
Bangkok Metropolis,8,26,Mahachon Party,73
Bangkok Metropolis,8,20,Glang,64
Bangkok Metropolis,8,17,Prashaniyom,50
Bangkok Metropolis,8,18,Paradonraphab Party,48
Bangkok Metropolis,8,23,Kru Thai,46
Bangkok Metropolis,8,30,Prachatham Thai,43
Bangkok Metropolis,8,24,Palang Chart Thai,36
Bangkok Metropolis,8,25,Powerful Love Party,31
Bangkok Metropolis,8,34,Power of Faith party,25
Bangkok Metropolis,8,29,Polamuang Thai,20
Bangkok Metropolis,8,27,Prachathai,19
Bangkok Metropolis,8,33,Tin Ga Kaw,15
Bangkok Metropolis,8,32,Thai Network Party,11
Bangkok Metropolis,8,31,People Vote Party,10
Bangkok Metropolis,8,28,Thai Friend Party,0
Bangkok Metropolis,9,6,Palang Pracharath Party,34907
Bangkok Metropolis,9,2,Pheu Thai,32115
Bangkok Metropolis,9,12,Future Forward Party,25735
Bangkok Metropolis,9,5,Democrat Party,16255
Bangkok Metropolis,9,20,New Economics Party,5873
Bangkok Metropolis,9,13,Thai Liberal Party,2593
Bangkok Metropolis,9,7,Bhumjaithai Party,1666
Bangkok Metropolis,9,11,Action Coalition for Thailand,760
Bangkok Metropolis,9,15,Thai Forest Conservation Party,578
Bangkok Metropolis,9,1,Chart Thai Pattana,380
Bangkok Metropolis,9,4,Puea Chat party,348
Bangkok Metropolis,9,8,Chart Pattana,241
Bangkok Metropolis,9,10,People's Reform,237
Bangkok Metropolis,9,9,Thai Local Power Party,170
Bangkok Metropolis,9,3,Prachachat Party,147
Bangkok Metropolis,9,22,Thai Citizen,98
Bangkok Metropolis,9,16,Prashaniyom,81
Bangkok Metropolis,9,19,Democratic Force party,71
Bangkok Metropolis,9,23,Kru Thai,59
Bangkok Metropolis,9,14,People Progressive party,58
Bangkok Metropolis,9,26,Palang Sungkom,55
Bangkok Metropolis,9,17,Paradonraphab Party,54
Bangkok Metropolis,9,24,Palang Chart Thai,52
Bangkok Metropolis,9,28,Prachatham Thai,49
Bangkok Metropolis,9,25,Palang Thai Sang Chart,46
Bangkok Metropolis,9,21,Thai People Power Party,41
Bangkok Metropolis,9,30,Thai Network Party,38
Bangkok Metropolis,9,27,Power of Faith party,25
Bangkok Metropolis,9,18,People Vote Party,23
Bangkok Metropolis,9,29,Mahachon Party,0
Bangkok Metropolis,10,1,Pheu Thai,30800
Bangkok Metropolis,10,13,Palang Pracharath Party,22067
Bangkok Metropolis,10,17,Future Forward Party,22062
Bangkok Metropolis,10,11,Democrat Party,14061
Bangkok Metropolis,10,4,Thai Liberal Party,2326
Bangkok Metropolis,10,3,Action Coalition for Thailand,627
Bangkok Metropolis,10,18,Thai Forest Conservation Party,428
Bangkok Metropolis,10,8,Thai Civilised,257
Bangkok Metropolis,10,5,Chart Pattana,245
Bangkok Metropolis,10,6,Chart Thai Pattana,227
Bangkok Metropolis,10,10,Thai Local Power Party,183
Bangkok Metropolis,10,12,Prachachat Party,164
Bangkok Metropolis,10,7,Puea Chat party,129
Bangkok Metropolis,10,9,People's Reform,126
Bangkok Metropolis,10,15,Siam Development Party,113
Bangkok Metropolis,10,16,Prashaniyom,107
Bangkok Metropolis,10,14,People Progressive party,88
Bangkok Metropolis,10,22,Paradonraphab Party,65
Bangkok Metropolis,10,23,Kru Thai,64
Bangkok Metropolis,10,29,Thai Rak Tham,60
Bangkok Metropolis,10,25,Pandintham,40
Bangkok Metropolis,10,20,Palang Chart Thai,38
Bangkok Metropolis,10,24,New Democracy Party,35
Bangkok Metropolis,10,28,Prachatham Thai,28
Bangkok Metropolis,10,27,Thai Network Party,26
Bangkok Metropolis,10,26,Prachathai,16
Bangkok Metropolis,10,19,People Vote Party,8
Bangkok Metropolis,10,2,Bhumjaithai Party,0
Bangkok Metropolis,10,21,New Economics Party,0
Bangkok Metropolis,11,12,Pheu Thai,34679
Bangkok Metropolis,11,13,Future Forward Party,25098
Bangkok Metropolis,11,8,Democrat Party,24815
Bangkok Metropolis,11,7,Palang Pracharath Party,18960
Bangkok Metropolis,11,19,New Economics Party,4141
Bangkok Metropolis,11,4,Thai Liberal Party,2363
Bangkok Metropolis,11,10,Bhumjaithai Party,661
Bangkok Metropolis,11,21,Thai Forest Conservation Party,361
Bangkok Metropolis,11,9,Puea Chat party,354
Bangkok Metropolis,11,2,Action Coalition for Thailand,336
Bangkok Metropolis,11,11,People's Reform,217
Bangkok Metropolis,11,1,Prachachat Party,173
Bangkok Metropolis,11,6,Chart Thai Pattana,173
Bangkok Metropolis,11,30,Thai Civilised,160
Bangkok Metropolis,11,15,Chart Pattana,130
Bangkok Metropolis,11,14,Thai Local Power Party,124
Bangkok Metropolis,11,18,New Democracy Party,84
Bangkok Metropolis,11,3,People Progressive party,78
Bangkok Metropolis,11,17,Palang Chart Thai,72
Bangkok Metropolis,11,16,Prashaniyom,69
Bangkok Metropolis,11,5,New Palangdharma Party,64
Bangkok Metropolis,11,28,Power of Faith party,62
Bangkok Metropolis,11,24,Paradonraphab Party,40
Bangkok Metropolis,11,22,Kru Thai,38
Bangkok Metropolis,11,29,Commoners' Party,37
